"","hurricane","sea.dev","dev.hurricane","sea.dev.hurricane","sea.hurricane","all.low_26","all.mid_45","all.high_60","all.max_80"
"115",0,0.106951871657754,0.0909090909090909,0.0909090909090909,0.265258215962441,0.254010695187166,0.403743315508021,0.147058823529412,0.433155080213904
"116",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.262910798122066,0.237967914438503,0.403743315508021,0.171122994652406,0.438502673796791
"117",0,0.106951871657754,0.10427807486631,0.10427807486631,0.284037558685446,0.224598930481283,0.390374331550802,0.176470588235294,0.43048128342246
"118",0,0.106951871657754,0.10427807486631,0.10427807486631,0.279342723004695,0.232620320855615,0.409090909090909,0.168449197860963,0.406417112299465
"119",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.28169014084507,0.259358288770053,0.398395721925134,0.168449197860963,0.459893048128342
"120",0,0.106951871657754,0.0935828877005348,0.0935828877005348,0.28169014084507,0.259358288770053,0.377005347593583,0.152406417112299,0.449197860962567
"121",0,0.106951871657754,0.106951871657754,0.106951871657754,0.295774647887324,0.229946524064171,0.409090909090909,0.165775401069519,0.443850267379679
"122",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.284037558685446,0.259358288770053,0.403743315508021,0.155080213903743,0.441176470588235
"123",0,0.106951871657754,0.10427807486631,0.10427807486631,0.288732394366197,0.248663101604278,0.414438502673797,0.176470588235294,0.441176470588235
"124",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.254010695187166,0.379679144385027,0.168449197860963,0.449197860962567
"125",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.240641711229947,0.374331550802139,0.163101604278075,0.457219251336898
"126",0,0.106951871657754,0.0855614973262032,0.0855614973262032,0.262910798122066,0.245989304812834,0.401069518716578,0.157754010695187,0.443850267379679
"127",0,0.106951871657754,0.106951871657754,0.106951871657754,0.293427230046948,0.248663101604278,0.358288770053476,0.160427807486631,0.403743315508021
"128",0,0.106951871657754,0.10427807486631,0.10427807486631,0.293427230046948,0.251336898395722,0.411764705882353,0.165775401069519,0.438502673796791
"129",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.26056338028169,0.248663101604278,0.387700534759358,0.163101604278075,0.422459893048128
"130",0,0.106951871657754,0.10427807486631,0.10427807486631,0.274647887323944,0.240641711229947,0.409090909090909,0.155080213903743,0.417112299465241
"131",0,0.106951871657754,0.0909090909090909,0.0909090909090909,0.267605633802817,0.254010695187166,0.401069518716578,0.163101604278075,0.454545454545455
"132",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.264705882352941,0.382352941176471,0.171122994652406,0.454545454545455
"133",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.288732394366197,0.237967914438503,0.387700534759358,0.141711229946524,0.433155080213904
"134",0,0.106951871657754,0.10427807486631,0.10427807486631,0.267605633802817,0.25668449197861,0.409090909090909,0.171122994652406,0.454545454545455
"135",0,0.106951871657754,0.101604278074866,0.101604278074866,0.284037558685446,0.237967914438503,0.425133689839572,0.165775401069519,0.441176470588235
"136",0,0.106951871657754,0.101604278074866,0.101604278074866,0.291079812206573,0.25668449197861,0.406417112299465,0.163101604278075,0.427807486631016
"137",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.267605633802817,0.237967914438503,0.414438502673797,0.160427807486631,0.462566844919786
"138",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.240641711229947,0.409090909090909,0.157754010695187,0.435828877005348
"139",0,0.106951871657754,0.0802139037433155,0.0802139037433155,0.246478873239437,0.248663101604278,0.401069518716578,0.176470588235294,0.451871657754011
"140",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.25668449197861,0.406417112299465,0.171122994652406,0.438502673796791
"141",0,0.106951871657754,0.0855614973262032,0.0855614973262032,0.253521126760563,0.235294117647059,0.390374331550802,0.168449197860963,0.459893048128342
"142",0,0.106951871657754,0.10427807486631,0.10427807486631,0.295774647887324,0.245989304812834,0.393048128342246,0.157754010695187,0.443850267379679
"143",0,0.106951871657754,0.101604278074866,0.101604278074866,0.293427230046948,0.259358288770053,0.398395721925134,0.176470588235294,0.443850267379679
"144",0,0.106951871657754,0.0855614973262032,0.0855614973262032,0.262910798122066,0.245989304812834,0.398395721925134,0.160427807486631,0.438502673796791
"145",0,0.106951871657754,0.0962566844919786,0.0962566844919786,0.272300469483568,0.259358288770053,0.393048128342246,0.165775401069519,0.435828877005348
"146",0,0.106951871657754,0.0962566844919786,0.0962566844919786,0.265258215962441,0.232620320855615,0.406417112299465,0.17379679144385,0.425133689839572
"147",0,0.106951871657754,0.10427807486631,0.10427807486631,0.295774647887324,0.251336898395722,0.387700534759358,0.147058823529412,0.443850267379679
"148",0,0.106951871657754,0.10427807486631,0.10427807486631,0.295774647887324,0.245989304812834,0.398395721925134,0.176470588235294,0.43048128342246
"149",0,0.106951871657754,0.10427807486631,0.10427807486631,0.288732394366197,0.259358288770053,0.385026737967914,0.17379679144385,0.39572192513369
"150",0,0.106951871657754,0.10427807486631,0.10427807486631,0.284037558685446,0.248663101604278,0.417112299465241,0.163101604278075,0.438502673796791
"151",0,0.106951871657754,0.0909090909090909,0.0909090909090909,0.262910798122066,0.237967914438503,0.385026737967914,0.147058823529412,0.409090909090909
"152",0,0.106951871657754,0.101604278074866,0.101604278074866,0.288732394366197,0.240641711229947,0.393048128342246,0.152406417112299,0.419786096256685
"153",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.265258215962441,0.245989304812834,0.401069518716578,0.160427807486631,0.417112299465241
"154",0,0.106951871657754,0.101604278074866,0.101604278074866,0.288732394366197,0.251336898395722,0.409090909090909,0.147058823529412,0.433155080213904
"155",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.272300469483568,0.24331550802139,0.406417112299465,0.163101604278075,0.438502673796791
"156",0,0.106951871657754,0.0909090909090909,0.0909090909090909,0.272300469483568,0.240641711229947,0.403743315508021,0.171122994652406,0.449197860962567
"157",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.258215962441315,0.237967914438503,0.39572192513369,0.176470588235294,0.441176470588235
"158",0,0.106951871657754,0.10427807486631,0.10427807486631,0.265258215962441,0.262032085561497,0.382352941176471,0.17379679144385,0.441176470588235
