Model_Current_Climate_raw_values
2011   4.2   1.7  13.7  17.0 164.8 238.1 156.6 152.0 132.3 104.4  59.8  39.8 1084.4
2012  19.5  21.8  11.9   8.8  19.6  33.0  81.7  51.5 108.1 150.5  37.9   9.1 553.4
2013   7.7  16.3   6.4  17.6  77.1  82.8  91.7 155.5 106.1  71.9  67.3  19.1 719.5
2014  11.2  10.4   8.9   7.9  51.3  45.7 127.9  81.9  87.6  90.0  64.5  27.1 614.4
2015 
2016   4.6  12.2  11.9 102.7  60.0 167.8 130.9 131.2  84.6  45.0 121.9  20.1 892.9
2017  24.5   7.2  14.1  35.6  22.1  92.7 102.6  73.0  41.0  10.3  13.4   8.4 444.9
2018   1.6   1.2  41.0 182.9 399.9 133.5 175.7 174.7 143.5 111.8  71.2  43.4 1480.4
2019  18.8  12.6  10.9   8.9   9.3  35.9  51.4 110.9  60.9  21.5  21.5   5.4 368.0
2020  11.9   5.3  17.4   6.6  48.5  74.4 158.5 154.3 152.2 145.0 154.7  31.4 960.2
2021  11.2  12.9  11.6  15.0 103.8  41.4 137.9 127.1 125.8 117.5  33.7  13.4 751.3
2022   7.4  22.7  23.2  40.5 128.4 115.6  57.6 158.2 139.6 100.6 135.7  37.9 967.4
2023   8.8  30.3  10.9  13.8   4.1  39.9  78.2 165.1  98.3  30.4  46.3   8.5 534.6
2024  28.1  27.7  37.7  75.1  68.0  61.2 128.3 198.3  64.2 103.3  17.4  20.0 829.3
2025  16.9  18.3   6.4  34.4  15.9  58.3 149.8 120.8  99.2  64.4   4.3   4.4 593.1
2026   4.8   7.3   5.0   4.9  28.5 122.0 155.6 108.5 174.8 151.8  20.0  20.5 803.7
2027  20.4   5.0   7.9  15.9  28.8  27.3  76.7 159.6 110.2  65.5  30.8  11.2 559.3
2028  10.9   3.9   7.4   5.6  11.5  48.8  37.2  98.8 136.0  52.2  38.9  41.3 492.5
2029  11.8   7.6   3.2  13.7  17.1  81.8  70.1  99.0 110.3  19.7  34.2   2.7 471.2
2030   5.1  28.5   2.1  86.4  62.5  94.7 159.9 166.6 142.0  95.9  83.5  37.4 964.6
2031  28.0   8.4  13.4  17.5  21.9  43.8 103.7  80.0  77.3  94.0  65.0  22.5 575.5
2032  10.2   5.6  15.5  28.0 175.2 150.8 112.4 176.9  97.8  58.1  46.7  88.6 965.8
2033  29.5  10.0   3.1   9.5  18.5 116.1 178.1 140.3 118.7  46.9  25.5  22.1 718.3
2034  20.3   1.5   6.7  24.3  36.6 114.9  90.0 107.7  56.4  92.6  87.5  17.1 655.6
2035  18.1  18.0  43.3  63.9  98.6  20.0 118.1  90.3  47.5  76.4  66.6  66.3 727.1
